relative_path,size_bytes,sha256
00_source_audit/ACTIVE_PROCESS_AUDIT.csv,709,9172a2271c8561d7cd99c412de1ad959c60a9f965f685280c759789c92d363c5
00_source_audit/base_v2_2_2of4_SOURCE_SNAPSHOT.yaml,5563,ebf99bc367a0f7aa4e9244a0304ae65fea6cd8af6ee6124388504581c5103bd5
00_source_audit/CURRENT_V2_FINAL_WEEK_SCAN.json,126,4030d1e202d2a60590e49366235c4a9aa89b9d374f06052bc4f57c3ef05bf194
00_source_audit/OUTPUT_SECRET_SCAN.csv,55,f9b38f966c39392451a170a0b2b36858dda724d904dcf660ec94001be6a53b30
00_source_audit/RAW_INPUT_METADATA.json,696,beb53bd948a88e935d4f31b6c2cd158de798e90c7fdd3bafe18fb18f6a285c9e
00_source_audit/SHELL_HISTORY_AUDIT.csv,330,5f8e3d7dd43a73f37c3d2cee7adb26bf33008c25b9b0e34cea7c8c8b8f82c5f7
00_source_audit/SOURCE_FILE_INVENTORY.csv,2334,9fd9a75bddc2427e7b53496d09a847b1a387d5202086f91cda6f6f697831674b
00_source_audit/SOURCE_GIT_STATUS.txt,2101,0baa5dde5167e496a0adcc39cb8f00da7d66c44ed9b3561edb44c3674d3f94e8
00_source_audit/V2_KEYWORD_SCAN.csv,140433,b603e67b92295ea68423a092814207688ca6499c58f107d06571e16e4122e528
01_blind_test_audit/BLIND_TEST_ELIGIBILITY.md,1399,9498f9f442499326a1662c59d24322b947b8afb58cbc6c3a5de839b31776710b
01_blind_test_audit/BLIND_TEST_EVIDENCE.csv,2582,58feca5fc46d17694c4c85b41a30bb21c4d13ebc7713313f9d8971394332f06f
01_blind_test_audit/OLD_PREDICTION_TIME_OVERLAP.json,693,032ea704fc9d6a5ec0fd3de6407808aac860d8296ad87985ce112c150034dc3c
02_time_grid_definition/AGGREGATION_THRESHOLD_POLICY.yaml,289,1b92859d6c21a48b5c69c936164d8cf1819dc7960e08e6e53f63633cf5bba15c
02_time_grid_definition/DENOMINATOR_COMPARISON.csv,286,283d736354cc3848a660e1373c7d1e478988f0f59602c2e99d603d34de39bef5
02_time_grid_definition/TIME_GRID_AUDIT.md,827,c7e47e44edc81d71b7d8147e7fe299cad34139915858295a0d607225ce03b8c1
02_time_grid_definition/TIME_GRID_POLICY.yaml,491,bb5453c2a7d6f32f6e65de77fcd236351d775374f51e34dc049d69f13807357a
03_cleaning_policy/CLEANING_INPUT_AUDIT.csv,2088,79007a9ef6773cfe8a1706ff64b61a4fb9bc20bd59d204e1d27e4e07cbee36b7
03_cleaning_policy/CLEANING_RULE_EXCLUSION_COUNTS.csv,582,f88c24d2ab0c1cce3ffeef3bd12c0d68d2c0b5846d89effea71d0f1bf54012af
03_cleaning_policy/PROPOSED_CLEANING_POLICY.yaml,1004,0f71b06df665c31216fa2214d60579e59d630f5d19e20dcc2871c9572008999a
03_cleaning_policy/STATUS_VALUE_COUNTS.csv,799,2c38bf094b99b9cf77391494d0f8d221be2ce7983195a66b780ded0a04d00d0a
04_split_definition/SPLIT_AND_HISTORY_BOUNDARY.md,1063,86400baf8dfd659e9a2320db9991c977ec1e525b98a154561d42668c3d75dc32
04_split_definition/SPLIT_POLICY.yaml,1250,137736b47b6959f4392fa8cdb6e66f19652164b3de4fa41c868ec951339c4afb
05_target_definition/TARGET_DEFINITION.md,530,d469f1b2280542e655568e680c2ce2c700e72639cddae77ef15d355ed370e7a8
05_target_definition/TARGET_POLICY.yaml,556,adb6acd205bbfbd56c71beb5edc8137f4e267af5112946165dabd79445baff21
06_history_and_state_policy/HISTORY_POLICY.yaml,442,1f81883057b94024654195a0f3c81c024ffcdebef81b5fae725de637897e3aa7
